SourceSite,SourceWell,TargetSite,TargetWell,pgp,target
1,A1,3,A1,PGP001,MEIS1
1,A2,3,A1,PGP002,MEIS1
1,A6,3,A1,PGP007,blank
1,A5,3,A1,PGP005,TBX2
1,A1,3,A2,PGP001,MEIS1
1,A2,3,A2,PGP002,MEIS1
1,A6,3,A2,PGP007,blank
1,A8,3,A2,PGP009,PAX3
1,A1,3,A3,PGP001,MEIS1
1,A2,3,A3,PGP002,MEIS1
1,A9,3,A3,PGP010,EGFR
1,A5,3,A3,PGP005,TBX2
1,A1,3,A4,PGP001,MEIS1
1,A2,3,A4,PGP002,MEIS1
1,A9,3,A4,PGP010,EGFR
1,A8,3,A4,PGP009,PAX3
1,A1,3,A5,PGP001,MEIS1
1,A4,3,A5,PGP004,TBX2
1,A6,3,A5,PGP007,blank
1,A5,3,A5,PGP005,TBX2
1,A1,3,A6,PGP001,MEIS1
1,A4,3,A6,PGP004,TBX2
1,A6,3,A6,PGP007,blank
1,A8,3,A6,PGP009,PAX3
1,A1,3,A7,PGP001,MEIS1
1,A4,3,A7,PGP004,TBX2
1,A9,3,A7,PGP010,EGFR
1,A5,3,A7,PGP005,TBX2
1,A1,3,A8,PGP001,MEIS1
1,A4,3,A8,PGP004,TBX2
1,A9,3,A8,PGP010,EGFR
1,A8,3,A8,PGP009,PAX3
1,A1,3,A9,PGP001,MEIS1
1,A7,3,A9,PGP008,PAX3
1,A6,3,A9,PGP007,blank
1,A5,3,A9,PGP005,TBX2
1,A1,3,A10,PGP001,MEIS1
1,A7,3,A10,PGP008,PAX3
1,A6,3,A10,PGP007,blank
1,A8,3,A10,PGP009,PAX3
1,A1,3,A11,PGP001,MEIS1
1,A7,3,A11,PGP008,PAX3
1,A9,3,A11,PGP010,EGFR
1,A5,3,A11,PGP005,TBX2
1,A1,3,A12,PGP001,MEIS1
1,A7,3,A12,PGP008,PAX3
1,A9,3,A12,PGP010,EGFR
1,A8,3,A12,PGP009,PAX3
1,A3,3,B1,PGP003,TBX2
1,A2,3,B1,PGP002,MEIS1
1,A6,3,B1,PGP007,blank
1,A5,3,B1,PGP005,TBX2
1,A3,3,B2,PGP003,TBX2
1,A2,3,B2,PGP002,MEIS1
1,A6,3,B2,PGP007,blank
1,A8,3,B2,PGP009,PAX3
1,A3,3,B3,PGP003,TBX2
1,A2,3,B3,PGP002,MEIS1
1,A9,3,B3,PGP010,EGFR
1,A5,3,B3,PGP005,TBX2
1,A3,3,B4,PGP003,TBX2
1,A2,3,B4,PGP002,MEIS1
1,A9,3,B4,PGP010,EGFR
1,A8,3,B4,PGP009,PAX3
1,A3,3,B5,PGP003,TBX2
1,A4,3,B5,PGP004,TBX2
1,A6,3,B5,PGP007,blank
1,A5,3,B5,PGP005,TBX2
1,A3,3,B6,PGP003,TBX2
1,A4,3,B6,PGP004,TBX2
1,A6,3,B6,PGP007,blank
1,A8,3,B6,PGP009,PAX3
1,A3,3,B7,PGP003,TBX2
1,A4,3,B7,PGP004,TBX2
1,A9,3,B7,PGP010,EGFR
1,A5,3,B7,PGP005,TBX2
1,A3,3,B8,PGP003,TBX2
1,A4,3,B8,PGP004,TBX2
1,A9,3,B8,PGP010,EGFR
1,A8,3,B8,PGP009,PAX3
1,A3,3,B9,PGP003,TBX2
1,A7,3,B9,PGP008,PAX3
1,A6,3,B9,PGP007,blank
1,A5,3,B9,PGP005,TBX2
1,A3,3,B10,PGP003,TBX2
1,A7,3,B10,PGP008,PAX3
1,A6,3,B10,PGP007,blank
1,A8,3,B10,PGP009,PAX3
1,A3,3,B11,PGP003,TBX2
1,A7,3,B11,PGP008,PAX3
1,A9,3,B11,PGP010,EGFR
1,A5,3,B11,PGP005,TBX2
1,A3,3,B12,PGP003,TBX2
1,A7,3,B12,PGP008,PAX3
1,A9,3,B12,PGP010,EGFR
1,A8,3,B12,PGP009,PAX3
