SourceSite,SourceWell,TargetSite,TargetWell,pgp,target
1,A1,3,A1,PGP001,MEIS1
1,A2,3,A1,PGP002,MEIS1
1,A1,3,A2,PGP001,MEIS1
1,A2,3,A2,PGP002,MEIS1
1,A1,3,A3,PGP001,MEIS1
1,A2,3,A3,PGP002,MEIS1
1,A1,3,A4,PGP001,MEIS1
1,A2,3,A4,PGP002,MEIS1
1,A1,3,A5,PGP001,MEIS1
1,A2,3,A5,PGP002,MEIS1
1,A5,3,A5,PGP005,blank
1,A6,3,A5,PGP006,CD19
1,A7,3,A5,PGP007,PAX3
1,A1,3,A6,PGP001,MEIS1
1,A2,3,A6,PGP002,MEIS1
1,A5,3,A6,PGP005,blank
1,A3,3,A6,PGP003,TBX2
1,A6,3,A6,PGP006,CD19
1,A1,3,A7,PGP001,MEIS1
1,A8,3,A7,PGP008,PAX3
1,A2,3,A7,PGP002,MEIS1
1,A5,3,A7,PGP005,blank
1,A3,3,A7,PGP003,TBX2
1,A6,3,A7,PGP006,CD19
1,A4,3,A7,PGP004,TBX2
1,A1,3,A8,PGP001,MEIS1
1,A8,3,A8,PGP008,PAX3
1,A2,3,A8,PGP002,MEIS1
1,A5,3,A8,PGP005,blank
1,A3,3,A8,PGP003,TBX2
1,A6,3,A8,PGP006,CD19
1,A4,3,A8,PGP004,TBX2
1,A7,3,A8,PGP007,PAX3
1,A1,3,A9,PGP001,MEIS1
1,A8,3,A9,PGP008,PAX3
1,A2,3,A9,PGP002,MEIS1
2,A1,3,A9,PGP011,GOOG
1,A3,3,A9,PGP003,TBX2
1,A6,3,A9,PGP006,CD19
1,A4,3,A9,PGP004,TBX2
1,A7,3,A9,PGP007,PAX3
1,A1,3,A10,PGP001,MEIS1
1,A2,3,A10,PGP002,MEIS1
1,A3,3,A10,PGP003,TBX2
1,A1,3,A11,PGP001,MEIS1
1,A2,3,A11,PGP002,MEIS1
1,A3,3,A11,PGP003,TBX2
1,A4,3,A11,PGP004,TBX2
1,A1,3,A12,PGP001,MEIS1
1,A2,3,A12,PGP002,MEIS1
1,A3,3,A12,PGP003,TBX2
1,A1,3,B1,PGP001,MEIS1
1,A2,3,B1,PGP002,MEIS1
1,A3,3,B1,PGP003,TBX2
1,A4,3,B1,PGP004,TBX2
1,A1,3,B2,PGP001,MEIS1
1,A2,3,B2,PGP002,MEIS1
1,A3,3,B2,PGP003,TBX2
1,A1,3,B3,PGP001,MEIS1
1,A2,3,B3,PGP002,MEIS1
1,A3,3,B3,PGP003,TBX2
1,A4,3,B3,PGP004,TBX2
1,A1,3,B4,PGP001,MEIS1
1,A2,3,B4,PGP002,MEIS1
1,A3,3,B4,PGP003,TBX2
1,A4,3,B4,PGP004,TBX2
1,A1,3,B5,PGP001,MEIS1
1,A2,3,B5,PGP002,MEIS1
1,A1,3,B6,PGP001,MEIS1
1,A2,3,B6,PGP002,MEIS1
1,A1,3,B7,PGP001,MEIS1
1,A2,3,B7,PGP002,MEIS1
1,A1,3,B8,PGP001,MEIS1
1,A2,3,B8,PGP002,MEIS1
1,A1,3,B9,PGP001,MEIS1
1,A2,3,B9,PGP002,MEIS1
1,A1,3,B10,PGP001,MEIS1
1,A2,3,B10,PGP002,MEIS1
1,A1,3,B11,PGP001,MEIS1
1,A2,3,B11,PGP002,MEIS1
1,A1,3,B12,PGP001,MEIS1
1,A2,3,B12,PGP002,MEIS1
1,A1,3,C1,PGP001,MEIS1
1,A2,3,C1,PGP002,MEIS1
